Class,Species,Stage,Abundance,Size min (um),Size max(um),Size_min_mm,Size_max_mm,bodymass min(ugC.ind-1),bodymass max(ugC.ind-1),REF,Biomass min(ugC),Biomass max (ugC),Somme biomass per species(ugC),,Group,Respiration per stage (pgC.d-1),,Res_spe_max (pgC.d-1),Res_spe_min (pgC.d-1),,,,Res_group(pgC.m-2.d-1),,Res_group(gC.m-2.m-1),,,,14W-0.25*e0.0693*(T-20)*biomass,,,"Meloney and Field, 1989  table4"
LW,Heterostylites major,F,7.62,3375.00,3800.00,3.38,3.80,2.90E+02,4.17E+02,,2.21E+03,3.18E+03,,,Omnivorous,7.86E+07,4.99E+07,,,,,,,,,,,,,,,
LW,Heterostylites major,M,2.29,3375.00,3700.00,3.38,3.70,2.90E+02,3.84E+02,,6.62E+02,8.78E+02,,,Omnivorous,2.17E+07,1.53E+07,,,,,,,,,,,,,,,
LW,Heterostylites major,Total,29.71,,,,,,,,,,4.09E+03,7.70E+03,,#DIV/0!,#DIV/0!,2.25E+08,9.73E+07,,,,,,,,,,,,,
LW,Limacina helicina,NA,407.92,5.00,13.00,5.00,13.00,3.62E+03,1.03E+05,"Hopcroft et al., 2005",1.47E+06,4.19E+07,1.47E+06,4.19E+07,Omnivorous,5.52E+11,8.41E+09,5.52E+11,8.41E+09,,,,,,,,,,,,,
LW,Metridia longa,Ci,114.29,550.00,810.00,0.55,0.81,1.09E+00,3.80E+00,"Forest et al., 2011",1.25E+02,4.34E+02,,,Omnivorous,4.34E+07,9.11E+06,,,,,,,,,,,,,,,
LW,Metridia longa,Cii,306.94,810.00,960.00,0.81,0.96,3.80E+00,6.57E+00,,1.17E+03,2.02E+03,,,Omnivorous,1.48E+08,7.44E+07,,,,,,,,,,,,,,,
LW,Metridia longa,Ciii,248.16,960.00,1190.00,0.96,1.19,6.57E+00,1.31E+01,,1.63E+03,3.26E+03,,,Omnivorous,2.08E+08,8.75E+07,,,,,,,,,,,,,,,
LW,Metridia longa,CiV,289.52,1200.00,1700.00,1.20,1.70,1.35E+01,4.15E+01,,3.91E+03,1.20E+04,,,Omnivorous,6.40E+08,1.57E+08,,,,,,,,,,,,,,,
LW,Metridia longa,CV,524.19,1770.00,2120.00,1.77,2.12,4.73E+01,8.46E+01,,2.48E+04,4.43E+04,,,Omnivorous,1.73E+09,8.34E+08,,,,,,,,,,,,,,,
LW,Metridia longa,F,2095.24,2500.00,3000.00,2.50,3.00,1.44E+02,2.59E+02,,3.02E+05,5.43E+05,,,Omnivorous,1.60E+10,7.68E+09,,,,,,,,,,,,,,,
LW,Metridia longa,M,349.56,1960.00,2400.00,1.96,2.40,6.57E+01,1.26E+02,,2.30E+04,4.41E+04,,,Omnivorous,1.58E+09,6.99E+08,,,,,,,,,,,,,,,
LW,Metridia longa,Total,3927.90,,,,,,,,,,3.56E+05,6.49E+05,,#DIV/0!,#DIV/0!,2.04E+10,9.54E+09,,,,,,,,,,,,,
LW,Microcalanus,Ciii,1018.56,360.00,405.00,0.36,0.41,3.01E-01,4.31E-01,"Uye, 1982",3.06E+02,4.39E+02,,,Omnivorous,6.06E+07,3.86E+07,,,,,,,,,,,,,,,
LW,Microcalanus,CiV,3527.62,395.00,470.00,0.40,0.47,4.00E-01,6.81E-01,,1.41E+03,2.40E+03,,,Omnivorous,3.09E+08,1.58E+08,,,,,,,,,,,,,,,
LW,Microcalanus,CV,3442.72,470.00,580.00,0.47,0.58,6.81E-01,1.30E+00,,2.35E+03,4.47E+03,,,Omnivorous,5.03E+08,2.24E+08,,,,,,,,,,,,,,,
LW,Microcalanus,F,5422.37,540.00,630.00,0.54,0.63,1.04E+00,1.67E+00,,5.66E+03,9.08E+03,,,Omnivorous,9.17E+08,5.08E+08,,,,,,,,,,,,,,,
LW,Microcalanus,M,890.56,500.00,570.00,0.50,0.57,8.24E-01,1.23E+00,,7.34E+02,1.10E+03,,,Omnivorous,1.18E+08,7.11E+07,,,,,,,,,,,,,,,
